id,name,locationTitle,busStop,status,title,description
01H3HMZEEXGJJGCH5GG15N516G,Banning Municipal Airport,Banning,Andalucia,false,Franecki-Parisian,Nasal function study
01H3HMZEJQZ4SEYFRSDBFXJBP7,Montauk Airport,Montauk,Aveiro,false,Schmeler-Hoeger,Other gu instillation
01H3HMZEJRT56ZJTQ6E0SSMEDJ,Fullerton Municipal Airport,Fullerton,Aveiro,false,Hermiston LLC,Intcran var v lig-strip
01H3HMZEJS2PVCJP67B47T9CJD,Panjgur Airport,Panjgur,Alabama,false,"Sanford, Kilback and Brown",Spinal canal explor NEC
01H3HMZEJS8DN758WJ1XDZP8VD,Boca Raton Airport,Boca Raton,Aveiro,false,Shanahan-Mraz,Lap bil ing hern-grf NOS
01H3HMZEJTEMD0X6W996TFZ1JB,Ye Airport,Ye,Alberta,false,"Sawayn, Towne and Simonis",Anterior remov vitreous
01H3HMZEJV18MA0AFK6VB1BJ4S,Rio Frio / Progreso Airport,Rio Frio / Progreso,Bourgogne,true,Stiedemann and Sons,Exc/dest intvrt disc NOS
01H3HMZEJV8Y3F1SN6X9TBTGDZ,Eliye Springs Airport,Eliye Springs,Baranya,true,Hintz-Dietrich,Other suprapu cystostomy
01H3HMZEJW04R77SBB7XKF5EN9,Payam International Airport,Karaj,Aveiro,true,Ritchie-Hilpert,Lithium therapy
01H3HMZEJXMR87TVP8VJW3HENA,Kiunga Airport,Kiunga,Andalucia,true,"Smith, Stroman and Schamberger",Blood vessel biopsy
01H3HMZEJYNBCNQNERQP8QGGH7,Pine Ridge Airport,Pine Ridge,Alsace,false,Olson-Kassulke,Hand skin graft NEC
01H3HMZEJZXGDQK73Z5YKYK6AF,Nachingwea Airport,Nachingwea,Bayern,true,Sipes LLC,Remov ant segmnt les NOS
01H3HMZEK0BQ53KPNY55AGHKZ9,Kandep Airport,Kandep,Bourgogne,false,Runte-Jenkins,Manual explor uterus p/p
01H3HMZEK2ZFQ9XVCSKQNK87ER,Macagua Airport,Ciudad Guayana,British Columbia,true,Schultz Inc,Delay opening colostomy
01H3HMZEK3AY3JB5WKWF8KDCXC,Yakutsk Airport,Yakutsk,Alberta,true,"Stokes, Kirlin and DuBuque",Neuroleptic therapy